x,Curve1
1003.6,43.2039
1010.09,42.3383
1016.58,41.2544
1023.06,40.3888
1029.55,39.305
1035.32,38.4385
1041.8,37.3547
1048.29,36.489
1054.77,35.4052
1061.26,34.5396
1067.03,33.4549
1073.51,32.5893
1080,31.5055
1086.49,30.6398
1092.97,29.7742
1099.46,28.6903
1105.95,27.8247
1112.43,26.959
1118.92,26.0934
1126.13,25.0103
1132.61,24.1447
1139.1,23.279
1143.42,22.411
1145.59,22.4134
1152.07,21.5477
1158.56,20.6821
1165.77,19.8172
1172.25,19.1697
1178.74,18.3041
1185.23,17.4384
1191.71,16.5728
1198.92,15.9261
1205.41,15.0604
1211.89,14.413
1219.1,13.5481
1225.59,12.9006
1232.07,12.035
1239.28,11.6065
1245.77,10.7408
1252.25,10.0934
1259.46,9.44668
1265.95,8.79921
1272.43,7.93356
1279.64,7.50506
1286.13,6.63941
1293.33,6.21091
1299.82,5.34526
1307.03,4.91676
1313.51,4.26929
1320.72,3.6226
1327.21,2.97514
1333.69,2.32767
1340.9,1.68098
1347.39,1.03351
1362.52,-0.259066
1369.73,-0.905749
1376.22,-1.33504
1383.42,-1.98172
1389.91,-2.62919
1396.4,-3.27666
